degree,k_ij
3,1077.3333333333333
3,110.33333333333333
1,3103.0
11,406.3636363636364
3,496.6666666666667
1,11.0
1,329.0
2,1593.5
1,234.0
8,98.0
5,19.2
2,5.0
1,8.0
7,18.857142857142858
1,3103.0
11,284.3636363636364
27,7.925925925925926
10,14.0
1,11.0
1,11.0
2,999.5
4,2.5
12,370.8333333333333
43,8.325581395348838
23,12.478260869565217
72,16.444444444444443
16,13.3125
3,1259.3333333333333
55,4.836363636363636
3,107.33333333333333
22,112.4090909090909
1,18.0
18,11.88888888888889
10,448.4
2,13.5
2,13.0
2,242.5
3,121.66666666666667
22,11.090909090909092
1,7.0
7,2.4285714285714284
3,243.0
1,7.0
1,1.0
1,1.0
2,45.5
4,997.5
15,3.8666666666666667
4,1028.0
5,850.4
2,12.5
73,9.63013698630137
5,1084.2
3,282.3333333333333
7,744.0
1,7.0
2,2.0
3,10.333333333333334
1,2.0
4,467.75
3,301.3333333333333
4,3.0
10,303.9
1,10.0
1,10.0
22,24.227272727272727
299,36.51505016722408
1,10.0
10,164.5
49,7.673469387755102
7,7.0
31,10.064516129032258
48,15.479166666666666
82,11.585365853658537
1,10.0
4,408.0
41,8.0
4,759.75
8,441.875
3,70.33333333333333
7,4.428571428571429
14,5.285714285714286
2,23.0
1,439.0
13,22.846153846153847
4,7.0
4,7.25
3,7.333333333333333
4,6.5
1,13.0
3,8.333333333333334
1,13.0
2,10.5
8,4.25
